Store Name,Full Address,ZIP Code,Town
Capolago,"Via Carlo Maderno 56, 6825 Capolago",6825,Capolago
Carouge,"Rue du Marché 16, 1227 Carouge GE",1227,Carouge GE
Carouge - Acacias,"Rue Gustave-Revilliod 4, 1227 Carouge GE",1227,Carouge GE
Carouge - MParc La Praille,"Avenue Vibert 32, 1227 Carouge GE",1227,Carouge GE
Carouge - Vibert,"Avenue Vibert 29, 1227 Carouge GE",1227,Carouge GE
Caslano,"Via Stazione 80, 6987 Caslano",6987,Caslano
Caslano-Pura,"Via Colombera 36, 6984 Caslano-Pura",6984,Caslano-Pura
Cassarate,"Viale Castagnola 21, 6900 Lugano",6900,Lugano
Centre la Tour,"Route de Pra-Riond 2, 1635 La Tour-de-Trême",1635,La Tour-de-Trême
Centro Agno,"Via Lugano 21, 6982 Agno",6982,Agno
Centro S.Antonino,"Via Serrai 5, 6592 Sant'Antonino",6592,Sant'Antonino
Centro S.Antonino OBI,"Via Serrai 3, 6592 S. Antonino",6592,S. Antonino
Centro Serfontana,"Viale Serfontana 20, 6834 Morbio Inferiore",6834,Morbio Inferiore
Cernier,"Rue Comble-Emine 5, 2053 Cernier",2053,Cernier
Cham,"Zugerstrasse 82, 6330 Cham",6330,Cham
Cham - Neudorf,"Zugerstrasse 15/17, 6330 Cham",6330,Cham
Chamoson,"Chemin Neuf 2, 1955 Chamoson",1955,Chamoson
Change Grand-Saconnex,"Route de Ferney 194-196, 1218 Grand-Saconnex",1218,Grand-Saconnex
Change Meyrin,"Avenue de Feuillasse 24, 1217 Meyrin",1217,Meyrin
Change Mont-Blanc,"Rue du Mont-Blanc 16, 1201 Genève",1201,Genève
Change Ouchy,"Place de la Navigation 16, 1007 Lausanne",1007,Lausanne
Change Pont-Rouge,"Esplanade de Pont-Rouge 3, 1212 Grand-Lancy",1212,Grand-Lancy
Change Rive,"Rue de Rive 20, 1204 Genève",1204,Genève
Change Thônex,"Rue de Genève 90, 1225 Chêne-Bourg",1225,Chêne-Bourg
Charrière,"Rue de la Charrière 71, 2300 La Chaux-de-Fonds",2300,La Chaux-de-Fonds
Chavannes - Renens,"Avenue du Tir-Fédéral 12, 1022 Chavannes-Renens",1022,Chavannes-Renens
Chavannes les Cèdres,"Avenue de la Gare 84, 1022 Chavannes-près-Renens",1022,Chavannes-près-Renens
Chavannes-de-Bogis,"Route de Divonne 2, 1279 Chavannes-de-Bogis",1279,Chavannes-de-Bogis
Cheseaux,"Route de Genève 9a, 1033 Cheseaux-sur-Lausanne",1033,Cheseaux-sur-Lausanne
Chiasso Via Como,"Via Como 7, 6830 Chiasso",6830,Chiasso
Chiasso-Pedrinate1,"Via Tinelle 20, 6832 Pedrinate",6832,Pedrinate
Chur,"Rheinfelsstrasse 2, 7000 Chur",7000,Chur
Chur - Calandapark,"Pargherastrasse 1-3, 7000 Chur",7000,Chur
Chur - Gäuggeli,"Gäuggelistrasse 28, 7000 Chur",7000,Chur
Chur - Ringstrasse,"Ringstrasse 91, 7000 Chur",7000,Chur
Chur - West,"Stellenweg 6, 7000 Chur",7000,Chur
Chur Masans,"Masanserstrasse 240, 7000 Chur",7000,Chur
Chur-Ost,"Deutsche Strasse 5, 7000 Chur",7000,Chur
Churwalden,"Hauptstrasse 146, 7075 Churwalden",7075,Churwalden
Châtel-St-Denis,"Rte de Montreux 56, 1618 Châtel-St-Denis",1618,Châtel-St-Denis
Chêne-Bougeries,"Ch. de la Gradelle 40, 1224 Chêne-Bougeries",1224,Chêne-Bougeries
Chêne-Vert,"Place de la Gare 2, 1225 Chêne-Bourg",1225,Chêne-Bourg
Clarens - Centre,"Rue du Léman 9, 1815 Clarens",1815,Clarens
Cointrin,"Av. Louis-Casaï 74/76, 1216 Cointrin",1216,Cointrin
Coldrerio-Paese,"Via S. Gottardo 37, 6877 Coldrerio",6877,Coldrerio
Collombey,"Entre-deux-Fossaux, 1868 Collombey",1868,Collombey
Collonge-Bellerive - Vésenaz,"Route de Thonon 55, 1245 Collonge-Bellerive",1245,Collonge-Bellerive
Colombier,"Avenue de la Gare 16, 2013 Colombier",2013,Colombier
Conseil à domicile Micasa,"Route de Noyer-Girod 3, 1163 Etoy",1163,Etoy
Conthey,"Route Cantonale 25, 1964 Conthey",1964,Conthey
Conthey - Forum des Alpes,"Route des Rottes 15, 1964 Conthey",1964,Conthey
Cormanon,"Rue du centre 4, 1752 Villars-sur-Glâne",1752,Villars-sur-Glâne
Cortaillod,"Chemin de Ronzi 2, 2016 Cortaillod",2016,Cortaillod
Cossonay,"Route des Chavannes 1, 1304 Cossonay-Ville",1304,Cossonay-Ville
Courtepin,"Route de l'Industrie 25, 1784 Courtepin",1784,Courtepin
Crans,"Rue du Grand-Place 7, 3963 Crans-Montana",3963,Crans-Montana
Crans-Montana,"Route du Rawyl 32, 3963 Crans-Montana",3963,Crans-Montana
Crissier,"Chemin du Closalet 7, 1023 Crissier",1023,Crissier
Crocifisso,"Via San Gottardo 150, 6942 Savosa",6942,Savosa
Cugy,"Route de Bottens 1, 1053 Cugy VD",1053,Cugy VD
Dagmersellen,"Baselstrasse 7, 6252 Dagmersellen",6252,Dagmersellen
Daily Zürich-Zollstrasse,"Zollstrasse 6, 8005 Zürich",8005,Zürich
Davos Dorf,"Bahnhofstrasse, 7260 Davos-Dorf",7260,Davos-Dorf
Davos Outlet,"Promenade 40, 7270 Davos Platz",7270,Davos Platz
Davos Symondpark,"Promenade 105, 7270 Davos Platz",7270,Davos Platz
Davos-Dorf,"Promenade 146, 7260 Davos Dorf",7260,Davos Dorf
Degersheim,"Hauptstrasse 81, 9113 Degersheim",9113,Degersheim
Delémont,"Rue de la Maltière 12, 2800 Delémont",2800,Delémont
Delémont - MParc,"Rue Emile-Boéchat 79, 2800 Delémont",2800,Delémont
Derendingen,"Hauptstrasse 22, 4552 Derendingen",4552,Derendingen
Dielsdorf,"Ruchwiesenstrasse 2, 8157 Dielsdorf",8157,Dielsdorf
Diepoldsau,"Hintere Kirchstrasse 1, 9444 Diepoldsau",9444,Diepoldsau
Dierikon Outlet,"Industriestrasse 1, 6036 Dierikon",6036,Dierikon
Diessenhofen,"Bahnhofstrasse 15, 8253 Diessenhofen",8253,Diessenhofen
Dietikon - Bernstrasse,"Bernstrasse 386, 8953 Dietikon",8953,Dietikon
Dietikon - Limmatfeld,"Überlandstrasse 22, 8953 Dietikon",8953,Dietikon
Dietikon - Löwenzentrum,"Löwenstrasse 28, 8953 Dietikon",8953,Dietikon
Dietikon Silbern,"Riedstrasse 3, 8953 Dietikon",8953,Dietikon
Dietlikon,"Neue Winterthurerstrasse 15, 8305 Dietlikon",8305,Dietlikon
Dietlikon - Brunnenwiese,"Pappelstrasse 2, 8305 Dietlikon",8305,Dietlikon
Do It + Garden - Taverne,"Via Brüsighell 6, 6807 Taverne",6807,Taverne
Domat-Ems,"Via La Val 1, 7013 Domat/Ems",7013,Domat/Ems
Domdidier,"Grand-Rhain 54, 1564 Domdidier",1564,Domdidier
